"""a priori"" Dietary Patterns and Cognitive Function in the SUN Project",1
"""A Voice to Talk about It"": Cosmetologists as STEM Experts in Educational Technology Design and Implementation.",1
"""BrÃ¼der zur Sonne zur Freiheit"": Das Arbeiterlied",0
"""Der ideale Ort, um die gesellschaftliche Einbettung der Wirtschaft zu erforschen""",0
"""Ich sehe eine Gefahr fÃ¼r die Demokratie"": Interview",0
"""Interchangeability"" of PD-L1 immunohistochemistry assays: a meta-analysis of diagnostic accuracy",20
"""KÃ¶ln ist relativ reich"": Interview",0
"""Medizin nach Noten"": Aufmerksamkeits- und KÃ¶rperÃ¶konomien im DDR-Fernsehen",0
"""Old School"" Islet Purification Based on the Unit Gravity Sedimentation as a Rescue Technique for Intraportal Islet Transplantation-A Case Report.",0
"""One feels so much in these times!"" Emotional education and the construction of new subjectivities. Sex education films in the early 1960s GDR",0
"""One more time"": why replicating some syntheses of evidence relevant to COVID-19 makes sense.",2
"""That's a double-edged sword"": Exploring the integration of supervised consumption services within community health centres in Toronto, Canada.",0
"""The Only Game in Town"": MÃ¤chtige Zentralbanken und Defizite in der Wirtschaftspolitik",0
"""The Renal Foot"" - Angiographic Pattern of Patients with Chronic Limb Threatening Ischemia and End-Stage Renal Disease.",2
"""Trust Me, I Have a Ph.D."": A Propensity Score Analysis on the Halo Effect of Disclosing One's Offline Social Status in Online Communities.",0
"""When You Have No Water, It Means You Have No Peace"": A Mixed-methods, Whole-population Study of Water Insecurity and Depression in Rural Uganda",7
"""You Have to Keep Yourself Hidden"": Perspectives from Malaysian Malay-Muslim Men Who Have Sex With Men on Policy, Network, Community, and Individual Influences on HIV Risk",4
"(Dis)connected Empires: Imperial Portugal, Sri Lankan Diplomacy, and the Making of a Habsburg Conquest in Asia. ZoltÃ¡n Biedermann. Oxford University Press. 2018. xii + 255pp. Â£65.00.",0
(Re)Designing for Engagement in a Project-based AP Environmental Science Course,1
) Insights from regional and short-term biodiversity monitoring datasets are valuable. A Reply to Daskalova et al. 2020.,0
[18F]Fluorocholine PET/CT-guided stereotactic body radiotherapy in patients with recurrent oligometastatic prostate cancer.,3
[Benign bile duct stricture:pathology and potential etiologies].,0
[Central regulation mechanisms for stress-induced frequent urination].,0
[Current status and issues around the process of health promotion program implementation by the municipal office of health and welfare: Survey results of all municipalities of six prefectures].,0
"[Effects of increased precipitation on growth of two ephemeral plants in the Gurbantunggut Desert, China].",0
[Effects of long-term fertilization on soil organic phosphorus fractions and wheat yield in farmland of Loess Plateau].,1
[Effects of water-fertilizer coupling on the yield of spring maize under shallow-buried drip irrigation in semi-arid region of western Liaoning Province].,0
"[Floral composition and ecological distribution of wood-decaying fungi in Laojunshan National Park, Southwest China].",0
"[Food source and feeding habit of Helice tientsinensis from the common reed vegetation in high marsh of Yellow River Delta, China].",0
[Formula: see text] in the Standard Model at the Dawn of the 2020s,0
[MRI Connecting Functions and Anatomy: A New Bridge for Radiotherapy].,0
[n]Phenacenes: Promising Organic Anodes for Potassium-Ion Batteries,0
[Present and future perspectives of artificial intelligence: examples of mathematical approaches for analysis of disease dynamics].,0
[Re-emerging Rubella Epidemic and Public Health Measures in Japan].,0
"[Review of: Mark H. Rose, Market rules: bankers, presidents, and the origins of the Great Recession. Philadelphia: University of Pennsylvania Press, 2019]",0
"[Review of:] Avner de-Shalit, Cities and immigration.",0
"[Review of:] Song King: Connecting People, Places, and Past in Contemporary China by Levi S. Gibbs",0
"[Rezension von: Bernhard Jakl: Handlungshoheit: Die normative Struktur der bestehenden Dogmatik und ihrer Materialisierung im deutschen und europÃ¤ischen Schuldvertragsrecht. â€“ TÃ¼bingen: Mohr Siebeck, 2019]",1
